data,head,dgl,dgl- 
cora,1,95.54242424242423,0.29557654110434056
pubmed,1,88.49898989898992,0.4011450319169142
question,1,97.11000000000001,0.003194382825000426
min,1,82.18626262626262,0.2558163637383217
texas,1,93.44717171717173,3.561653777878703
wiki,1,85.63020202020205,0.5832106417487068
wis,1,82.3718181818182,4.608160101127696
cora,4,95.1050505050505,0.4570030449980588
pubmed,4,88.36060606060607,0.7286860108523247
question,4,97.12575757575759,0.007836454463138456
min,4,81.09171717171716,0.1885067010341448
texas,4,95.05797979797978,2.7602040666196452
wiki,4,85.43464646464645,1.866189128554041
wis,4,94.45646464646467,3.31379501082028
cora,8,94.78888888888885,0.7086763875156434
pubmed,8,88.30000000000001,0.6882393983111942
question,8,97.1241414141414,0.011694242522877471
min,8,80.38262626262625,0.08928955258705133
texas,8,94.26606060606059,3.3279621815765443
wiki,8,85.61080808080811,0.901361415619
wis,8,93.7438383838384,2.234336274122271
