data,head,gat32,gat32- 
cora,1,91.74141414141415,0.37877625214067356
pubmed,1,86.06565656565657,0.27522221677112435
question,1,97.02353535353535,0.013272122949167749
min,1,80.33656565656564,0.05966165856201816
texas,1,76.96000000000001,3.566577562622755
wiki,1,81.79202020202021,0.3150606672968068
wis,1,55.21676767676767,3.1016502613019323
cora,4,92.5151515151515,0.368494907993406
pubmed,4,86.23030303030302,0.3299519276842617
question,4,97.0210101010101,0.01138338831725975
min,4,80.27272727272727,0.08521064154365934
texas,4,73.35515151515152,4.351917560846109
wiki,4,80.93858585858587,1.3679733334471365
wis,4,59.05929292929293,3.37742090120984
cora,8,92.56060606060609,0.4082861596064206
pubmed,8,86.12626262626263,0.3379366739934672
question,8,97.01656565656567,0.01011783797200641
min,8,80.28040404040404,0.09655197597740378
texas,8,71.4159595959596,2.2542743613655474
wiki,8,80.65343434343434,0.3508187555086772
wis,8,56.89979797979797,2.551078595337219
ogbn-arxiv,1,5.662929292929291,0.025203357617770594
ogbn-arxiv,4,5.779393939393937,0.9351697632437348
