data,head,pyg,pyg- 
cora,1,94.78888888888889,0.35018621544476636
pubmed,1,86.49292929292929,0.3104481701960349
question,1,97.02676767676768,0.016151595790768213
min,1,83.16323232323232,0.19668076425054942
texas,1,85.42070707070708,11.366520499715808
wiki,1,84.49080808080808,0.48230457979282804
wis,1,85.28232323232324,2.497471304112002
cora,4,95.09292929292928,0.542904607934803
pubmed,4,86.14545454545456,0.5131480924153734
question,4,97.05686868686865,0.007374316245919848
min,4,83.3870707070707,0.1604919256997095
texas,4,95.76707070707069,3.1178685984162815
wiki,4,84.98464646464646,0.8058337210506097
wis,4,95.32747474747477,2.9199878890699176
cora,8,95.86868686868685,0.48564000790172607
pubmed,8,86.09090909090908,0.7476617849752863
question,8,97.08222222222221,0.014537464307116492
min,8,81.92202020202019,0.3166340184322114
texas,8,82.22808080808082,10.172395387113635
wiki,8,84.4260606060606,1.610640522974822
wis,8,92.2981818181818,2.5094053135811523
