data,config,dgl
soc-Epinions1,3-128,6.7639
GitHub,3-128,8.3811
artist,3-128,8.0498
blog,3-128,23.88
IGB_small,3-128,77.6041
com-DBLP,3-128,15.0899
amazon,3-128,47.7864
amazon0505,3-128,28.177
dd,3-128,13.6694
comamazon,3-128,15.0632
yeast,3-128,65.9055
ogbn-arxiv,3-128,13.7416
soc-Epinions1,3-64,5.3703
GitHub,3-64,7.3465
artist,3-64,5.3603
blog,3-64,17.6997
IGB_small,3-64,50.1857
com-DBLP,3-64,9.831
amazon,3-64,32.5785
amazon0505,3-64,18.1367
dd,3-64,9.0878
comamazon,3-64,9.9781
yeast,3-64,46.1895
ogbn-arxiv,3-64,11.0391
